X,Y
0.19,-0.624
0.19,-0.611
0.312,-0.652
0.312,-0.624
0.312,-0.611
0.312,-0.57
0.326,-0.679
0.326,-0.652
0.326,-0.57
0.326,-0.516
0.339,-0.692
0.339,-0.679
0.339,-0.516
0.339,-0.489
0.353,-0.706
0.353,-0.692
0.353,-0.489
0.353,-0.475
0.38,-0.719
0.38,-0.706
0.407,-0.475
0.407,-0.462
0.489,-0.462
0.489,-0.448
0.557,-0.448
0.557,-0.462
0.57,-0.733
0.57,-0.719
0.584,-0.462
0.584,-0.475
0.597,-0.747
0.597,-0.733
0.597,-0.475
0.597,-0.502
0.611,-0.76
0.611,-0.747
0.611,-0.502
0.611,-0.529
0.624,-0.692
0.624,-0.733
0.624,-0.747
0.624,-0.76
0.624,-0.529
0.624,-0.557
0.638,-0.679
0.638,-0.692
0.638,-0.733
0.638,-0.747
0.638,-0.557
0.638,-0.57
0.665,-0.57
0.665,-0.557
0.679,-0.692
0.679,-0.679
0.679,-0.557
0.679,-0.543
0.692,-0.543
0.692,-0.529
0.706,-0.529
0.706,-0.516
0.719,-0.516
0.719,-0.502
0.733,-0.706
0.733,-0.692
0.733,-0.502
0.733,-0.489
0.747,-0.719
0.747,-0.706
0.747,-0.489
0.747,-0.475
0.76,-0.733
0.76,-0.719
0.76,-0.475
0.76,-0.462
0.774,-0.462
0.774,-0.448
0.869,-0.747
0.869,-0.733
0.882,-0.76
0.882,-0.747
0.896,-0.774
0.896,-0.76
0.909,-0.787
0.909,-0.774
0.923,-0.801
0.923,-0.787
0.923,-0.448
0.923,-0.434
0.937,-0.814
0.937,-0.801
0.95,-0.434
0.95,-0.448
0.964,-0.828
0.964,-0.814
0.964,-0.448
0.964,-0.462
0.977,-0.462
0.977,-0.489
0.991,-0.489
0.991,-0.516
1.004,-0.516
1.004,-0.529
1.018,-0.529
1.018,-0.543
1.032,-0.543
1.032,-0.557
1.045,-0.557
1.045,-0.57
1.045,-0.814
1.045,-0.828
1.059,-0.801
1.059,-0.814
1.072,-0.787
1.072,-0.801
1.086,-0.57
1.086,-0.557
1.086,-0.774
1.086,-0.787
1.1,-0.557
1.1,-0.543
1.1,-0.719
1.1,-0.774
1.113,-0.543
1.113,-0.529
1.113,-0.652
1.113,-0.719
1.127,-0.529
1.127,-0.516
1.127,-0.502
1.127,-0.475
1.127,-0.624
1.127,-0.652
1.14,-0.516
1.14,-0.502
1.14,-0.475
1.14,-0.462
1.154,-0.462
1.154,-0.448
1.167,-0.448
1.167,-0.421
1.181,-0.421
1.181,-0.407
1.195,-0.407
1.195,-0.394
1.235,-0.394
1.235,-0.38
1.276,-0.38
1.276,-0.367
1.317,-0.367
1.317,-0.38
1.33,-0.38
1.33,-0.394
1.344,-0.394
1.344,-0.407
1.357,-0.407
1.357,-0.421
1.371,-0.421
1.371,-0.434
1.371,-0.611
1.371,-0.624
1.398,-0.434
1.398,-0.407
1.412,-0.407
1.412,-0.367
1.425,-0.367
1.425,-0.353
1.439,-0.353
1.439,-0.339
1.452,-0.339
1.452,-0.299
1.466,-0.299
1.466,-0.271
1.48,-0.271
1.48,-0.258
1.52,-0.258
1.52,-0.244
1.534,-0.624
1.534,-0.611
1.575,-0.244
1.575,-0.231
1.642,-0.231
1.642,-0.244
1.656,-0.244
1.656,-0.258
1.724,-0.638
1.724,-0.624
1.737,-0.652
1.737,-0.638
1.751,-0.258
1.751,-0.271
1.751,-0.665
1.751,-0.652
1.765,-0.271
1.765,-0.285
1.765,-0.679
1.765,-0.665
1.778,-0.285
1.778,-0.339
1.778,-0.692
1.778,-0.679
1.792,-0.339
1.792,-0.421
1.792,-0.706
1.792,-0.692
1.805,-0.421
1.805,-0.434
1.873,-0.434
1.873,-0.448
1.968,-0.448
1.968,-0.462
1.968,-0.692
1.968,-0.706
2.036,-0.462
2.036,-0.475
2.036,-0.679
2.036,-0.692
2.05,-0.475
2.05,-0.489
2.05,-0.665
2.05,-0.679
2.063,-0.489
2.063,-0.502
2.063,-0.638
2.063,-0.665
2.077,-0.502
2.077,-0.516
2.077,-0.624
2.077,-0.638
2.09,-0.516
2.09,-0.529
2.09,-0.597
2.09,-0.624
2.104,-0.529
2.104,-0.543
2.104,-0.584
2.104,-0.597
2.118,-0.543
2.118,-0.557
2.118,-0.57
2.118,-0.584
2.131,-0.584
2.131,-0.57
2.131,-0.557
2.131,-0.57
2.158,-0.597
2.158,-0.584
2.158,-0.57
2.158,-0.584
2.199,-0.584
2.199,-0.597
2.199,-0.611
2.199,-0.597
2.375,-0.801
2.375,-0.611
2.389,-0.611
2.389,-0.801
2.43,-0.801
2.43,-0.787
2.443,-0.787
2.443,-0.801
2.443,-0.787
2.443,-0.611
2.457,-0.611
2.457,-0.787
2.579,-0.692
2.579,-0.679
2.593,-0.597
2.593,-0.57
2.593,-0.706
2.593,-0.692
2.593,-0.679
2.593,-0.611
2.606,-0.57
2.606,-0.557
2.606,-0.597
2.606,-0.679
2.606,-0.692
2.606,-0.706
2.62,-0.557
2.62,-0.57
2.62,-0.611
2.62,-0.597
2.62,-0.679
2.62,-0.692
2.633,-0.624
2.633,-0.611
2.633,-0.57
2.633,-0.611
2.742,-0.611
2.742,-0.624
2.742,-0.638
2.742,-0.624
2.796,-0.516
2.796,-0.502
2.81,-0.529
2.81,-0.516
2.81,-0.502
2.81,-0.489
2.823,-0.557
2.823,-0.529
2.823,-0.489
2.823,-0.502
2.837,-0.652
2.837,-0.638
2.837,-0.624
2.837,-0.557
2.837,-0.502
2.837,-0.557
2.851,-0.665
2.851,-0.652
2.851,-0.557
2.851,-0.652
2.864,-0.679
2.864,-0.665
2.864,-0.652
2.864,-0.665
2.905,-0.76
2.905,-0.747
2.918,-0.774
2.918,-0.76
2.918,-0.747
2.918,-0.679
2.932,-0.679
2.932,-0.747
2.932,-0.76
2.932,-0.774
2.946,-0.747
2.946,-0.76
3.054,-0.692
3.054,-0.679
3.054,-0.665
3.054,-0.679
3.108,-0.706
3.108,-0.692
3.108,-0.679
3.108,-0.692
3.217,-0.719
3.217,-0.706
3.217,-0.692
3.217,-0.706
3.217,-0.692
3.217,-0.652
3.231,-0.706
3.231,-0.719
3.231,-0.733
3.231,-0.719
3.231,-0.652
3.231,-0.638
3.231,-0.679
3.231,-0.692
3.244,-0.638
3.244,-0.652
3.244,-0.665
3.244,-0.679
3.258,-0.652
3.258,-0.665
3.516,-0.719
3.516,-0.706
3.529,-0.706
3.529,-0.692
3.543,-0.692
3.543,-0.706
3.556,-0.706
3.556,-0.719
5.199,-0.706
5.199,-0.679
5.212,-0.719
5.212,-0.706
5.212,-0.679
5.212,-0.665
5.226,-0.665
5.226,-0.679
5.226,-0.692
5.226,-0.719
5.24,-0.679
5.24,-0.692
5.294,-0.665
5.294,-0.652
5.307,-0.679
5.307,-0.665
5.307,-0.652
5.307,-0.638
5.321,-0.706
5.321,-0.679
5.321,-0.638
5.321,-0.652
5.335,-0.719
5.335,-0.733
5.335,-0.652
5.335,-0.706
5.335,-0.719
5.335,-0.706
5.389,-0.733
5.389,-0.719
5.389,-0.706
5.389,-0.665
5.402,-0.747
5.402,-0.733
5.402,-0.665
5.402,-0.57
5.416,-0.76
5.416,-0.747
5.416,-0.57
5.416,-0.543
5.43,-0.543
5.43,-0.516
5.443,-0.516
5.443,-0.502
5.484,-0.502
5.484,-0.489
5.511,-0.489
5.511,-0.475
5.538,-0.475
5.538,-0.462
5.552,-0.462
5.552,-0.448
5.565,-0.774
5.565,-0.76
5.565,-0.448
5.565,-0.434
5.579,-0.787
5.579,-0.774
5.579,-0.434
5.579,-0.421
5.593,-0.801
5.593,-0.787
5.593,-0.421
5.593,-0.407
5.606,-0.814
5.606,-0.801
5.606,-0.407
5.606,-0.394
5.633,-0.801
5.633,-0.814
5.66,-0.394
5.66,-0.407
5.701,-0.407
5.701,-0.421
5.728,-0.421
5.728,-0.434
5.755,-0.434
5.755,-0.448
5.755,-0.787
5.755,-0.801
5.769,-0.448
5.769,-0.462
5.769,-0.774
5.769,-0.787
5.783,-0.462
5.783,-0.475
5.783,-0.76
5.783,-0.774
5.796,-0.475
