x_val,y_val
0.016,0.559
0.016,0.5909
0.0319,0.543
0.0319,0.559
0.0479,0.527
0.0479,0.543
0.0639,0.5909
0.0639,0.575
0.0799,0.5111
0.0799,0.527
0.0958,0.575
0.0958,0.559
0.1118,0.4951
0.1118,0.5111
0.1278,0.559
0.1278,0.543
0.1437,0.4791
0.1437,0.4951
0.1597,0.543
0.1597,0.527
0.1757,0.4632
0.1757,0.4791
0.1917,0.527
0.1917,0.5111
0.2076,0.4472
0.2076,0.4632
0.2076,0.5111
0.2076,0.4951
0.2396,0.4312
0.2396,0.4472
0.2396,0.4951
0.2396,0.4791
0.2555,0.4152
0.2555,0.4312
0.2715,0.4791
0.2715,0.4632
0.2875,0.3993
0.2875,0.4152
0.3035,0.4632
0.3035,0.4472
0.3194,0.3833
0.3194,0.3993
0.3354,0.4472
0.3354,0.4312
0.3514,0.3673
0.3514,0.3833
0.3673,0.4312
0.3673,0.4152
0.3833,0.3514
0.3833,0.3673
0.3993,0.4152
0.3993,0.3993
0.4153,0.3354
0.4153,0.3514
0.4312,0.3993
0.4312,0.3833
0.4472,0.3194
0.4472,0.3354
0.4632,0.3833
0.4632,0.3673
0.4791,0.3034
0.4791,0.3194
0.4951,0.3673
0.4951,0.3514
0.5111,0.2875
0.5111,0.3034
0.5271,0.3514
0.5271,0.3354
0.543,0.2715
0.543,0.2875
0.559,0.3354
0.559,0.3194
0.575,0.2555
0.575,0.2715
0.5909,0.3194
0.5909,0.3034
0.6069,0.2396
0.6069,0.2555
0.6229,0.3034
0.6229,0.2875
0.6548,0.2236
0.6548,0.2396
0.6548,0.2875
0.6548,0.2715
0.6868,0.2076
0.6868,0.2236
0.7027,0.2715
0.7027,0.2555
0.7187,0.1916
0.7187,0.2076
0.7347,0.2555
0.7347,0.2396
0.7666,0.1757
0.7666,0.1916
0.7826,0.2396
0.7826,0.2236
0.8145,0.1597
0.8145,0.1757
0.8305,0.2236
0.8305,0.2076
0.8305,0.559
0.8305,0.5909
0.8465,0.527
0.8465,0.559
0.8465,0.5909
0.8465,0.6069
0.8625,0.4791
0.8625,0.527
0.8784,0.4472
0.8784,0.4791
0.8784,0.6069
0.8784,0.5909
0.8944,0.543
0.8944,0.527
0.8944,0.3993
0.8944,0.4472
0.9104,0.527
0.9104,0.4951
0.9104,0.3354
0.9104,0.3993
0.9263,0.4951
0.9263,0.4472
0.9263,0.2076
0.9263,0.3354
0.9423,0.527
0.9423,0.543
0.9423,0.4472
0.9423,0.3993
0.9423,0.1757
0.9423,0.1597
0.9423,0.5909
0.9423,0.575
0.9583,0.3993
0.9583,0.3354
0.9583,0.1916
0.9583,0.1757
0.9743,0.3354
0.9743,0.1916
1.0062,0.5111
1.0062,0.527
1.0062,0.575
1.0062,0.559
1.0701,0.4951
1.0701,0.5111
1.0701,0.559
1.0701,0.543
1.134,0.4791
1.134,0.4951
1.134,0.543
1.134,0.527
1.1979,0.4632
1.1979,0.4791
1.1979,0.527
1.1979,0.5111
1.2617,0.4472
1.2617,0.4632
1.2617,0.5111
1.2617,0.4951
1.3256,0.4312
1.3256,0.4472
1.3256,0.4951
1.3256,0.4791
1.3895,0.4152
1.3895,0.4312
1.3895,0.4791
1.3895,0.4632
1.4534,0.3993
1.4534,0.4152
1.4534,0.4632
1.4534,0.4472
1.5173,0.3833
1.5173,0.3993
1.5173,0.4472
1.5173,0.4312
1.5812,0.3673
1.5812,0.3833
1.5812,0.4312
1.5812,0.4152
1.6451,0.3514
1.6451,0.3673
1.661,0.4152
1.661,0.3993
1.7249,0.3354
1.7249,0.3514
1.7249,0.3993
1.7249,0.3833
1.7888,6.117
1.7888,6.1809
1.7888,0.3194
1.7888,0.3354
1.8048,6.0052
1.8048,6.117
1.8048,6.1809
1.8048,6.2288
1.8048,0.3833
1.8048,0.3673
1.8207,5.9254
1.8207,6.0052
1.8207,6.2288
1.8207,6.2448
1.8367,5.8615
1.8367,5.9254
1.8367,6.1809
1.8367,6.1649
1.8367,6.149
1.8367,6.117
1.8527,5.7976
1.8527,5.8615
1.8527,6.1649
1.8527,6.149
1.8527,6.117
1.8527,6.0212
1.8687,5.7337
1.8687,5.7976
1.8687,6.2448
1.8687,6.2288
1.8687,6.0212
1.8687,5.9413
1.8846,5.6698
1.8846,5.7337
1.8846,6.149
1.8846,6.1809
1.8846,5.9413
1.8846,5.8615
1.8846,0.3034
1.8846,0.3194
1.8846,0.3673
1.8846,0.3514
1.9006,5.6219
1.9006,5.6698
1.9006,6.2288
1.9006,6.2129
1.9006,6.133
1.9006,6.149
1.9006,5.8615
1.9006,5.7976
1.9166,5.558
1.9166,5.6219
1.9166,6.2129
1.9166,6.1969
1.9166,6.117
1.9166,6.133
1.9166,5.7976
1.9166,5.7337
1.9325,5.4941
1.9325,5.558
1.9325,6.1969
1.9325,6.1809
1.9325,6.1011
1.9325,6.117
1.9325,5.7337
1.9325,5.6858
1.9485,5.4462
1.9485,5.4941
1.9485,6.1809
1.9485,6.149
1.9485,6.0691
1.9485,6.1011
1.9485,5.6858
1.9485,5.6219
1.9645,5.3983
1.9645,5.4462
1.9645,6.149
1.9645,6.133
1.9645,6.0531
1.9645,6.0691
1.9645,5.6219
1.9645,5.558
1.9645,0.2875
1.9645,0.3034
1.9645,0.3514
1.9645,0.3354
1.9805,5.3344
1.9805,5.3983
1.9805,6.133
1.9805,6.117
1.9805,6.0212
1.9805,6.0531
1.9805,5.558
1.9805,5.5101
1.9964,5.2865
1.9964,5.3344
1.9964,6.117
1.9964,6.0851
1.9964,6.0052
1.9964,6.0212
1.9964,5.5101
1.9964,5.4462
2.0124,5.2386
2.0124,5.2865
2.0124,6.0851
2.0124,6.0691
2.0124,5.9733
2.0124,6.0052
2.0124,5.4462
2.0124,5.3983
2.0284,5.1747
2.0284,5.2386
2.0284,6.0691
2.0284,6.0372
2.0284,5.9573
2.0284,5.9733
2.0284,5.3983
2.0284,5.3504
2.0443,5.1268
2.0443,5.1747
2.0443,6.0372
2.0443,6.0212
2.0443,5.9254
2.0443,5.9573
2.0443,5.3504
2.0443,5.2865
2.0603,5.0789
2.0603,5.1268
2.0603,6.0212
2.0603,5.9893
2.0603,5.8934
2.0603,5.9254
2.0603,5.2865
2.0603,5.2386
2.0603,0.2715
2.0603,0.2875
2.0603,0.3354
2.0603,0.3194
2.0763,5.015
2.0763,5.0789
2.0763,5.9893
2.0763,5.9573
2.0763,5.8775
2.0763,5.8934
2.0763,5.2386
2.0763,5.1907
2.0923,4.9671
2.0923,5.015
2.0923,5.9573
2.0923,5.9413
2.0923,5.8455
2.0923,5.8775
2.0923,5.1907
2.0923,5.1268
2.1082,4.9192
2.1082,4.9671
2.1082,5.9413
2.1082,5.9094
2.1082,5.8136
2.1082,5.8455
2.1082,5.1268
2.1082,5.0789
2.1242,4.8713
2.1242,4.9192
2.1242,5.9094
2.1242,5.8775
2.1242,5.7816
2.1242,5.8136
2.1242,5.0789
2.1242,5.031
2.1402,4.8074
2.1402,4.8713
2.1402,5.8775
2.1402,5.8615
2.1402,5.7657
2.1402,5.7816
2.1402,5.031
2.1402,4.9831
2.1561,4.7595
2.1561,4.8074
