x_val,Y,y_val
1.658,0.268,-1
3.099,0.282,-1
4.459,0.29,-1
5.818,0.301,-1
7.191,0.312,-1
8.535,0.339,-1
9.913,0.354,-1
11.27,0.361,-1
12.629,0.372,-1
13.898,0.38,-1
15.146,0.392,-1
16.384,0.409,-1
17.618,0.42,-1
18.891,0.429,-1
20.133,0.452,-1
21.358,0.462,-1
22.521,0.49,-1
23.667,0.497,-1
24.801,0.502,-1
25.943,0.512,-1
27.093,0.518,-1
28.243,0.529,-1
29.391,0.534,-1
30.559,0.539,-1
31.735,0.541,-1
32.911,0.542,-1
34.087,0.552,-1
35.301,0.558,-1
36.51,0.573,-1
37.769,0.585,-1
39.07,0.61,-1
40.377,0.626,-1
41.645,0.643,-1
42.868,0.648,-1
44.113,0.653,-1
45.327,0.66,-1
46.56,0.674,-1
47.766,0.683,-1
48.974,0.69,-1
50.172,0.694,-1
51.378,0.691,-1
52.622,0.694,-1
53.85,0.702,-1
55.066,0.711,-1
56.314,0.712,-1
57.604,0.722,-1
58.975,0.74,-1
60.33,0.752,-1
61.612,0.76,-1
62.858,0.758,-1
64.135,0.76,-1
65.368,0.761,-1
66.591,0.769,-1
67.827,0.775,-1
69.09,0.784,-1
70.339,0.782,-1
71.55,0.788,-1
72.783,0.794,-1
74.036,0.807,-1
75.299,0.815,-1
76.527,0.821,-1
77.858,0.835,-1
79.247,0.85,-1
80.601,0.869,-1
81.87,0.885,-1
83.124,0.885,-1
84.417,0.921,-1
85.677,0.9,-1
86.931,0.912,-1
88.195,0.915,-1
89.452,0.909,-1
90.696,0.92,-1
91.913,0.924,-1
93.13,0.927,-1
94.368,0.934,-1
95.603,0.946,-1
96.82,0.958,-1
98.123,0.972,-1
99.47,0.982,-1
100.78,0.991,-1
102.003,0.983,-1
103.237,0.972,-1
104.47,0.977,-1
105.748,0.972,-1
107.01,0.973,-1
108.323,0.973,-1
109.645,0.97,-1
110.979,0.962,-1
112.257,0.956,-1
113.516,0.954,-1
114.771,0.948,-1
116.048,0.944,-1
117.297,0.942,-1
118.634,0.941,-1
119.995,0.945,-1
121.291,0.94,-1
122.515,0.936,-1
123.743,0.917,-1
124.961,0.912,-1
126.186,0.902,-1
127.45,0.901,-1
128.723,0.896,-1
129.969,0.889,-1
131.205,0.881,-1
132.438,0.877,-1
133.654,0.88,-1
134.87,0.884,-1
136.1,0.883,-1
137.393,0.881,-1
138.709,0.89,-1
140.092,0.893,-1
141.438,0.899,-1
142.716,0.897,-1
143.987,0.879,-1
145.26,0.88,-1
146.511,0.888,-1
147.744,0.89,-1
148.95,0.897,-1
150.18,0.898,-1
151.398,0.904,-1
152.636,0.902,-1
153.886,0.9,-1
155.172,0.901,-1
156.451,0.906,-1
157.756,0.91,-1
159.103,0.919,-1
160.518,0.928,-1
161.904,0.933,-1
163.237,0.937,-1
164.54,0.925,-1
165.891,0.919,-1
167.242,0.925,-1
168.58,0.929,-1
169.89,0.931,-1
171.208,0.928,-1
172.558,0.925,-1
173.91,0.921,-1
175.227,0.926,-1
176.538,0.931,-1
177.868,0.941,-1
179.248,0.956,-1
180.697,0.968,-1
182.131,0.984,-1
183.508,0.991,-1
184.85,0.981,-1
186.185,0.974,-1
187.568,0.979,-1
188.954,0.983,-1
190.311,0.987,-1
191.717,0.984,-1
193.097,0.981,-1
194.5,0.976,-1
195.891,0.975,-1
197.284,0.985,-1
198.687,0.994,-1
200.104,1.002,-1
201.639,1.025,-1
203.195,1.046,-1
204.696,1.06,-1
206.09,1.06,-1
207.505,1.06,-1
208.931,1.07,-1
210.305,1.078,-1
211.685,1.076,-1
213.063,1.081,-1
214.47,1.073,-1
215.846,1.071,-1
217.231,1.065,-1
218.61,1.069,-1
220.026,1.072,-1
221.449,1.07,-1
222.955,1.084,-1
224.485,1.096,-1
225.933,1.099,-1
227.325,1.088,-1
228.733,1.075,-1
230.163,1.078,-1
231.532,1.084,-1
232.892,1.088,-1
234.282,1.088,-1
235.716,1.085,-1
237.159,1.086,-1
238.611,1.083,-1
240.059,1.09,-1
241.47,1.095,-1
242.879,1.097,-1
244.366,1.111,-1
245.905,1.116,-1
247.354,1.126,-1
248.772,1.113,-1
250.213,1.099,-1
251.676,1.098,-1
253.152,1.091,-1
254.649,1.087,-1
256.209,1.088,-1
257.728,1.087,-1
259.271,1.083,-1
260.817,1.087,-1
262.315,1.088,-1
263.843,1.086,-1
