 ,X,Y
1,1.730,0.279
2,3.234,0.294
3,4.653,0.302
4,6.072,0.314
5,7.495,0.331
6,8.908,0.354
7,10.346,0.369
8,11.763,0.377
9,13.181,0.389
10,14.506,0.396
11,15.808,0.409
12,17.100,0.426
13,18.388,0.439
14,19.716,0.448
15,21.013,0.471
16,22.291,0.483
17,23.505,0.511
18,24.701,0.518
19,25.885,0.524
20,27.076,0.535
21,28.277,0.541
22,29.477,0.552
23,30.676,0.558
24,31.895,0.563
25,33.122,0.564
26,34.349,0.565
27,35.576,0.576
28,36.844,0.582
29,38.106,0.598
30,39.419,0.611
31,40.777,0.637
32,42.142,0.653
33,43.465,0.671
34,44.741,0.677
35,46.041,0.681
36,47.308,0.689
37,48.595,0.703
38,49.853,0.713
39,51.115,0.720
40,52.364,0.724
41,53.624,0.721
42,54.922,0.725
43,56.204,0.733
44,57.472,0.742
45,58.775,0.743
46,60.121,0.754
47,61.553,0.773
48,62.967,0.785
49,64.305,0.793
50,65.605,0.791
51,66.938,0.794
52,68.225,0.795
53,69.501,0.803
54,70.791,0.809
55,72.110,0.818
56,73.413,0.816
57,74.677,0.822
58,75.964,0.829
59,77.272,0.842
60,78.590,0.850
61,79.871,0.857
62,81.261,0.871
63,82.711,0.887
64,84.124,0.907
65,85.448,0.924
66,86.756,0.924
67,88.085,0.935
68,89.421,0.940
69,90.730,0.952
70,92.049,0.955
71,93.362,0.948
72,94.660,0.960
73,95.930,0.964
74,97.200,0.968
75,98.492,0.975
76,99.781,0.987
77,101.051,0.999
78,102.412,1.014
79,103.817,1.025
80,105.184,1.034
81,106.460,1.026
82,107.749,1.014
83,109.035,1.019
84,110.369,1.014
85,111.686,1.015
86,113.057,1.015
87,114.436,1.012
88,115.829,1.004
89,117.163,0.998
90,118.477,0.996
91,119.786,0.989
92,121.120,0.985
93,122.423,0.983
94,123.818,0.983
95,125.239,0.987
96,126.592,0.981
97,127.869,0.977
98,129.151,0.957
99,130.422,0.952
100,131.701,0.941
101,133.019,0.940
102,134.348,0.935
103,135.649,0.928
104,136.938,0.919
105,138.225,0.916
106,139.495,0.919
107,140.764,0.923
108,142.048,0.921
109,143.397,0.919
110,144.771,0.929
111,146.215,0.932
112,147.619,0.938
113,148.953,0.936
114,150.279,0.918
115,151.608,0.919
116,152.914,0.927
117,154.201,0.929
118,155.460,0.937
119,156.743,0.937
120,158.015,0.944
121,159.307,0.941
122,160.611,0.939
123,161.954,0.940
124,163.288,0.945
125,164.650,0.950
126,166.056,0.959
127,167.533,0.969
128,168.980,0.974
129,170.371,0.978
130,171.731,0.966
131,173.141,0.959
132,174.551,0.966
133,175.947,0.970
134,177.315,0.972
135,178.690,0.968
136,180.099,0.966
137,181.510,0.962
138,182.885,0.966
139,184.253,0.972
140,185.641,0.982
141,187.082,0.998
142,188.594,1.010
143,190.090,1.027
144,191.527,1.035
145,192.928,1.023
146,194.322,1.016
147,195.765,1.022
148,197.212,1.025
149,198.628,1.030
150,200.096,1.027
151,201.535,1.024
152,203.001,1.018
153,204.452,1.018
154,205.906,1.028
155,207.370,1.037
156,208.849,1.046
157,210.451,1.070
158,212.075,1.092
159,213.642,1.107
160,215.097,1.106
161,216.573,1.106
162,218.062,1.117
163,219.496,1.125
164,220.936,1.123
165,222.374,1.128
166,223.843,1.119
167,225.279,1.118
168,226.725,1.111
169,228.164,1.116
170,229.642,1.119
171,231.127,1.116
172,232.699,1.131
173,234.295,1.144
174,235.807,1.147
175,237.259,1.136
176,238.729,1.122
177,240.222,1.125
178,241.650,1.132
179,243.070,1.136
180,244.520,1.136
181,246.017,1.132
182,247.524,1.133
183,249.039,1.130
184,250.550,1.138
185,252.022,1.143
186,253.494,1.145
187,255.046,1.160
188,256.651,1.164
189,258.163,1.175
190,259.644,1.162
191,261.148,1.147
192,262.675,1.146
193,264.216,1.139
194,265.778,1.134
195,267.406,1.136
196,268.991,1.134
197,270.602,1.131
198,272.216,1.134
199,273.779,1.135
200,275.373,1.133
201,277.064,1.142
202,278.842,1.151
203,280.531,1.160
204,282.136,1.157
205,283.755,1.146
206,285.364,1.148
207,286.938,1.152
208,288.508,1.157
209,290.095,1.164
210,291.670,1.168
211,293.291,1.177
212,294.895,1.187
213,296.481,1.203
214,298.087,1.217
215,299.773,1.232
216,301.534,1.257
217,303.260,1.279
218,304.920,1.284
219,306.593,1.276
220,308.229,1.275
221,309.873,1.276
222,311.520,1.270
223,313.166,1.274
224,314.822,1.272
225,316.487,1.272
226,318.111,1.272
227,319.748,1.279
228,321.439,1.286
229,323.188,1.290
230,325.038,1.317
231,326.879,1.338
232,328.621,1.337
233,330.324,1.323
234,332.094,1.317
235,333.810,1.314
236,335.515,1.308
237,337.262,1.303
238,338.993,1.296
239,340.687,1.295
240,342.415,1.295
241,344.110,1.293
242,345.789,1.284
243,347.580,1.296
244,349.405,1.299
245,351.120,1.303
246,352.807,1.282
247,354.535,1.270
248,356.247,1.260
249,357.953,1.245
250,359.703,1.235
251,361.414,1.224
252,363.104,1.213
253,364.814,1.208
254,366.485,1.198
255,368.160,1.182
